Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Randomise questionnaire elements?,consent-response-1,consent-response-2,consent-response-text,consent-response-other,END QUESTIONNAIRE
1,1701392100811,01/12/2023 00:55:00,1701392098580,1,01/12/2023 01:54:58,146089,8,questionnaire-ibmm,,33341098,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Consent,5,SoundCheckPassed,1,test passed,6,,,,,,yes,No,Evet,,,,8902
1,1701392321299,01/12/2023 00:58:41,1701392321996,1,01/12/2023 01:58:41,146089,8,questionnaire-ibmm,,33341128,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,5,yes,No,Evet,,,,18265
1,1701392627922,01/12/2023 01:03:47,1701392627694,-5,30/11/2023 20:03:47,146089,8,questionnaire-ibmm,,33341163,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Consent,5,SoundCheckPassed,3,test passed,,,6,,,,yes,No,Evet,,,,35904
1,1701392790859,01/12/2023 01:06:30,1701392790721,-5,30/11/2023 20:06:30,146089,8,questionnaire-ibmm,,33341182,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Consent,5,SoundCheckPassed,4,test passed,,,,1,,,yes,No,Evet,,,,48512
1,1701392941524,01/12/2023 01:09:01,1701392941666,-5,30/11/2023 20:09:01,146089,8,questionnaire-ibmm,,33341202,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1323,,,,Consent,5,SoundCheckPassed,2,test passed,,4,,,,,yes,No,Evet,,,,21136
1,1701393705068,01/12/2023 01:21:45,1701393708017,-5,30/11/2023 20:21:48,146089,8,questionnaire-ibmm,,33341328,BLIND,9871938,,complete,,656934f22403f862cd7b8ac7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x707,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,1,,yes,No,Evet,,,,22659
1,1701393964063,01/12/2023 01:26:04,1701393963259,11,01/12/2023 12:26:03,146089,8,questionnaire-ibmm,,33341371,BLIND,9871944,,complete,,6569361469aa56111e0d56c6,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x714,,,,Consent,5,SoundCheckPassed,1,test passed,2,,,,,,yes,No,Evet,,,,67190
1,1701394056772,01/12/2023 01:27:36,1701394056541,10,01/12/2023 11:27:36,146089,8,questionnaire-ibmm,,33341387,BLIND,9871950,,complete,,656936732e961f9dd4da7296,mobile,Apple iPhone,iOS 17.1,Chrome 119.0.6045.169,430x932,430x745,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,4,yes,No,Evet,,,,10292
1,1701395304202,01/12/2023 01:48:24,1701395304005,-6,30/11/2023 19:48:24,146089,8,questionnaire-ibmm,,33341496,BLIND,9871989,,complete,,65693b2ce4535adae82342af,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x814,,,,Consent,5,SoundCheckPassed,3,test passed,,,4,,,,yes,No,Evet,,,,4817
1,1701396518220,01/12/2023 02:08:38,1701396519399,3,01/12/2023 05:08:39,146089,8,questionnaire-ibmm,,33341587,BLIND,9872014,,complete,,65693ff403a08dc0ab41c6bd,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x791,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,3,,yes,No,Evet,,,,6506
1,1701398890781,01/12/2023 02:48:10,1701398890550,11,01/12/2023 13:48:10,146089,8,questionnaire-ibmm,,33341744,BLIND,9872070,,complete,,656949236b0eea2328e2d755,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,393x852,393x659,,,,Consent,5,SoundCheckPassed,4,test passed,,,,3,,,yes,No,Evet,,,,258722
1,1701400222669,01/12/2023 03:10:22,1701400222129,10.5,01/12/2023 13:40:22,146089,8,questionnaire-ibmm,,33341830,BLIND,9872101,,complete,,65694e7b3314a65dec78e750,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,428x926,428x746,,,,Consent,5,SoundCheckPassed,2,test passed,,1,,,,,yes,No,Evet,,,,59614
1,1701402350556,01/12/2023 03:45:50,1701402349870,-5,30/11/2023 22:45:49,146089,8,questionnaire-ibmm,,33341944,BLIND,9872129,,complete,,656956e17a9f309a332b89c5,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1280x720,1280x606,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,2,yes,No,Evet,,,,5708
1,1701404394974,01/12/2023 04:19:54,1701404393982,11,01/12/2023 15:19:53,146089,8,questionnaire-ibmm,,33342070,BLIND,9872182,,complete,,65695eda56d3d7ca3fd50a27,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1920x965,,,,Consent,5,SoundCheckPassed,1,test passed,5,,,,,,yes,No,Evet,,,,8481
1,1701406336969,01/12/2023 04:52:16,1701406337514,-5,30/11/2023 23:52:17,146089,8,questionnaire-ibmm,,33342247,BLIND,9872222,,complete,,656966424bde2a6c9da09286,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x923,,,,Consent,5,SoundCheckPassed,3,test passed,,,1,,,,yes,No,Evet,,,,69851
1,1701407502761,01/12/2023 05:11:42,1701407502622,-8,30/11/2023 21:11:42,146089,8,questionnaire-ibmm,,33342329,BLIND,9872253,,complete,,65696ae896dbd6323c50dbf8,mobile,Apple iPhone,iOS 17.1,Chrome 120.0.6099.50,430x932,430x745,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,6,,yes,No,Evet,,,,9646
1,1701407870264,01/12/2023 05:17:50,1701407869092,-5,01/12/2023 00:17:49,146089,8,questionnaire-ibmm,,33342367,BLIND,9872265,,complete,,65696c6c6ea276f3fef4874a,mobile,undefined K,Android 10,Chrome 119.0.0.0,360x800,360x667,,,,Consent,5,SoundCheckPassed,2,test passed,,6,,,,,yes,No,Evet,,,,10793
1,1701409834106,01/12/2023 05:50:34,1701409833647,-7,30/11/2023 22:50:33,146089,8,questionnaire-ibmm,,33342516,BLIND,9872289,,complete,,656973fb0e913fda4f78ecc7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Consent,5,SoundCheckPassed,4,test passed,,,,5,,,yes,No,Evet,,,,29144
1,1701410296383,01/12/2023 05:58:16,1701410296143,11,01/12/2023 16:58:16,146089,8,questionnaire-ibmm,,33342549,BLIND,9872297,,complete,,656975de58327133884b3785,mobile,Apple iPhone,iOS 17.1,Chrome 119.0.6045.169,428x926,428x751,,,,Consent,5,SoundCheckPassed,4,test passed,,,,6,,,yes,No,Evet,,,,59429
1,1701413731291,01/12/2023 06:55:31,1701413731190,0,01/12/2023 06:55:31,146089,8,questionnaire-ibmm,,33342883,BLIND,9872389,,complete,,656983552cffcd8156cf027a,mobile,Apple iPhone,iOS 16.6.1,Mobile Safari 16.6,390x844,390x664,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,4,,yes,No,Evet,,,,41769
1,1701413793092,01/12/2023 06:56:33,1701413792872,1,01/12/2023 07:56:32,146089,8,questionnaire-ibmm,,33342887,BLIND,9872391,,complete,,6569838fa782f752f59cdf7d,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x607,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,1,yes,No,Evet,,,,14123
1,1701414110724,01/12/2023 07:01:50,1701414109980,0,01/12/2023 07:01:49,146089,8,questionnaire-ibmm,,33342926,BLIND,9872397,,complete,,656984bfd2d8b133155104ac,mobile,Samsung SM-A307FN,Android 11,Samsung Browser 23.0,412x892,412x766,,,,Consent,5,SoundCheckPassed,3,test passed,,,2,,,,yes,No,Evet,,,,15010
1,1701415227105,01/12/2023 07:20:27,1701415224702,0,01/12/2023 07:20:24,146089,8,questionnaire-ibmm,,33343035,BLIND,9872421,,complete,,65697e067a9f309a332b8ee1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x697,,,,Consent,5,SoundCheckPassed,1,test passed,3,,,,,,yes,No,Evet,,,,19160
1,1701416384240,01/12/2023 07:39:44,1701416383988,0,01/12/2023 07:39:43,146089,8,questionnaire-ibmm,,33343179,BLIND,9872467,,complete,,65698d84ebcc6e68b6d3ed9e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x815,,,,Consent,5,SoundCheckPassed,2,test passed,,3,,,,,yes,No,Evet,,,,9272
